wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time,focused,runInBackground
153.02,58,0.0174,0.0272,1.001,1.001,59.6,0.0167,1.0000,1.00,400,0,136.54,1,1
154.03,60,0.0167,0.0318,0.996,0.996,59.7,0.0167,1.0000,1.00,400,0,137.54,1,1
155.04,67,0.0151,0.0250,1.005,1.005,60.5,0.0167,1.0000,1.00,400,0,138.56,1,1
156.04,75,0.0134,0.0301,0.998,0.998,60.5,0.0167,1.0000,1.00,400,0,139.56,1,1
157.05,63,0.0159,0.0334,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,140.56,1,1
158.05,52,0.0193,0.0335,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,141.57,1,1
159.06,58,0.0173,0.0303,0.999,0.999,59.6,0.0167,1.0000,1.00,400,0,142.57,1,1
160.06,56,0.0180,0.0330,1.001,1.001,60.5,0.0167,1.0000,1.00,400,0,143.58,1,1
161.07,58,0.0173,0.0353,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,144.59,1,1
162.08,61,0.0166,0.0372,0.999,0.999,60.1,0.0167,1.0000,1.00,400,0,145.60,1,1
163.09,57,0.0177,0.0347,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,146.61,1,1
164.10,65,0.0155,0.0263,1.002,1.002,59.5,0.0167,1.0000,1.00,400,0,147.62,1,1
165.10,59,0.0169,0.0334,0.996,0.996,59.9,0.0167,1.0000,1.00,400,0,148.62,1,1
166.13,51,0.0201,0.0339,0.999,0.999,60.4,0.0167,1.0000,1.00,400,0,149.64,1,1
167.15,56,0.0182,0.0330,1.003,1.003,60.0,0.0167,1.0000,1.00,400,0,150.66,1,1
168.15,57,0.0176,0.0327,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,151.67,1,1
169.15,56,0.0179,0.0335,0.999,0.999,59.8,0.0167,1.0000,1.00,400,0,152.67,1,1
170.16,57,0.0177,0.0312,1.001,1.001,60.5,0.0167,1.0000,1.00,400,0,153.68,1,1
171.16,51,0.0196,0.0747,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,154.68,0,1
172.18,55,0.0186,0.0318,0.998,0.998,59.6,0.0167,1.0000,1.00,400,0,155.70,0,1
173.19,54,0.0186,0.0360,0.999,0.999,60.6,0.0167,1.0000,1.00,400,0,156.71,0,1
174.20,55,0.0184,0.0418,1.003,1.003,59.5,0.0167,1.0000,1.00,400,0,157.72,0,1
175.21,52,0.0194,0.0386,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,158.73,0,1
176.22,58,0.0174,0.0234,0.999,0.999,59.5,0.0167,1.0000,1.00,400,0,159.74,0,1
177.24,57,0.0179,0.0339,1.000,1.000,60.7,0.0167,1.0000,1.00,400,0,160.76,0,1
178.24,56,0.0179,0.0287,1.002,1.002,60.0,0.0167,1.0000,1.00,400,0,161.76,0,1
179.25,56,0.0180,0.0305,0.999,0.999,59.4,0.0167,1.0000,1.00,400,0,162.77,0,1
180.27,52,0.0195,0.0295,0.999,0.999,60.0,0.0167,1.0000,1.00,400,0,163.78,0,1
181.27,52,0.0192,0.0332,0.999,0.999,60.9,0.0167,1.0000,1.00,400,0,164.78,0,1
182.27,53,0.0189,0.0336,1.002,1.002,59.9,0.0167,1.0000,1.00,400,0,165.79,0,1
183.28,50,0.0203,0.0368,0.998,0.998,60.1,0.0167,1.0000,1.00,400,0,166.80,0,1
184.32,53,0.0195,0.0341,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,167.83,0,1
185.32,53,0.0190,0.0348,1.001,1.001,59.7,0.0167,1.0000,1.00,400,0,168.84,0,1
186.34,52,0.0196,0.0438,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,169.86,0,1
187.35,52,0.0194,0.0320,1.000,1.000,60.5,0.0167,1.0000,1.00,400,0,170.87,0,1
188.38,52,0.0197,0.0341,0.999,0.999,59.5,0.0167,1.0000,1.00,400,0,171.89,0,1
189.38,48,0.0210,0.1052,1.000,1.000,60.6,0.0167,1.0000,1.00,400,0,172.90,0,1
190.39,52,0.0193,0.0346,1.001,1.001,59.7,0.0167,1.0000,1.00,400,0,173.90,0,1
191.39,48,0.0209,0.0414,1.001,1.001,59.9,0.0167,1.0000,1.00,400,0,174.91,0,1
192.39,50,0.0200,0.0369,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,175.91,0,1
193.40,50,0.0202,0.0342,0.999,0.999,60.5,0.0167,1.0000,1.00,400,0,176.92,0,1
194.42,51,0.0201,0.0359,0.998,0.998,59.5,0.0167,1.0000,1.00,400,0,177.94,0,1
195.44,50,0.0203,0.0381,1.001,1.001,60.2,0.0167,1.0000,1.00,400,0,178.95,0,1
196.44,51,0.0196,0.0270,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,179.95,0,1
197.44,50,0.0202,0.0402,1.004,1.004,59.7,0.0167,1.0000,1.00,400,0,180.96,0,1
198.44,51,0.0196,0.0358,0.996,0.996,60.7,0.0167,1.0000,1.00,400,0,181.96,0,1
199.46,53,0.0192,0.0381,1.001,1.001,60.0,0.0167,1.0000,1.00,400,0,182.98,0,1
200.48,52,0.0197,0.0366,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,184.00,0,1
201.52,51,0.0203,0.0349,0.999,0.999,59.9,0.0167,1.0000,1.00,400,0,185.03,0,1
202.53,51,0.0199,0.0374,1.001,1.001,60.3,0.0167,1.0000,1.00,400,0,186.05,0,1
203.55,49,0.0207,0.0420,1.000,1.000,60.1,0.0167,1.0000,1.00,400,0,187.06,0,1
204.56,51,0.0199,0.0358,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,188.08,0,1
205.58,52,0.0196,0.0331,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,189.10,0,1
206.58,52,0.0193,0.0374,1.001,1.001,59.9,0.0167,1.0000,1.00,400,0,190.10,0,1
207.58,51,0.0196,0.0352,1.001,1.001,59.9,0.0167,1.0000,1.00,400,0,191.10,0,1
208.61,50,0.0205,0.0371,0.998,0.998,60.4,0.0167,1.0000,1.00,400,0,192.13,0,1
209.61,51,0.0197,0.0349,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,193.13,0,1
210.61,54,0.0186,0.0367,1.002,1.002,59.9,0.0167,1.0000,1.00,400,0,194.13,0,1
